Epoch,loss_train,acc_train,loss_test,acc_test
0,1.6905565960653897,0.02,0.833659291267395,0.22
1,0.8060308962032713,0.29777777777777775,0.5125760212540627,0.54
2,0.4801633995154808,0.5422222222222223,0.281145628541708,0.74
3,0.39429033367798244,0.5933333333333334,0.2566050738096237,0.78
4,0.33481924646887284,0.6422222222222222,0.1660746969282627,0.9
5,0.3349787800990302,0.6577777777777778,0.11401803977787495,0.94
6,0.31576149319780283,0.6755555555555556,0.09267936879768968,0.92
7,0.31199372996544017,0.7444444444444445,0.16471261298283935,0.8
8,0.2981756129141512,0.6955555555555556,0.19904019311070442,0.74
9,0.27307406042156546,0.7177777777777777,0.18583672773092985,0.74
10,0.29465280678765526,0.7555555555555555,0.14285152405500412,0.74
11,0.26598339938911897,0.7555555555555555,0.07557041384279728,0.96
12,0.24044343392396794,0.7311111111111112,0.09960788488388062,0.86
13,0.2837648323640741,0.7622222222222222,0.1194421723484993,0.84
14,0.22422674709352955,0.7577777777777778,0.06791521736886352,0.94
15,0.21909554790833902,0.7688888888888888,0.11846492439508438,0.94
16,0.171396907290508,0.8244444444444444,0.09185015084221959,0.96
17,0.21687651142991823,0.7888888888888889,0.04984070046339184,0.94
18,0.16220657549926948,0.82,0.06326842017006129,0.98
19,0.20051287166003523,0.78,0.06353923678398132,0.98
20,0.16968737799545813,0.8288888888888889,0.060245988075621426,0.96
21,0.14717150787855016,0.8577777777777778,0.06626795255579054,0.98
22,0.17578805950951987,0.8311111111111111,0.06784774758853018,0.98
23,0.16369740163971638,0.8644444444444445,0.05276339460397139,0.96
24,0.1450807660304267,0.8444444444444444,0.06716614629840478,0.98
25,0.1231032491757952,0.8755555555555555,0.10268371843267232,0.94
26,0.16004659113442077,0.8666666666666667,0.08829038179828785,0.94
27,0.17070529290378608,0.8622222222222222,0.08430179581046104,0.96
28,0.19490392608889218,0.8666666666666667,0.09346887585707009,0.96
29,0.14909597370645095,0.8955555555555555,0.07362418808043003,0.94
30,0.1590363505007378,0.8711111111111111,0.060970262391492724,0.98
31,0.10971655837934592,0.8933333333333333,0.07271128705178853,0.98
32,0.14939545750104147,0.8844444444444445,0.07033160899300128,0.98
33,0.13632390699509916,0.92,0.06199948632274754,0.98
34,0.0926016138481169,0.9244444444444444,0.06371360726188868,0.98
35,0.11877669737642181,0.9111111111111111,0.06093375460477546,0.98
36,0.11567573833825259,0.9266666666666666,0.05196451966185123,0.98
37,0.11735125210393092,0.9155555555555556,0.5513611801434308,0.98
38,0.06686120706706725,0.9222222222222223,0.06895309659012128,0.96
39,0.09323977139489405,0.9266666666666666,0.07597727628308348,0.98
